zipcode,casesReported,culturalSpaces,numberOfReturns,avgAGI,species
98101,5361,55,7890,136.1487959,12
98102,1752,20,15880,94.8156801,29
98103,4053,77,28150,85.42767318,84
98104,3513,87,6580,98.65607903,9
98105,2958,64,15400,108.5212338,47
98106,670,8,12500,50.07752,27
98107,3101,35,14480,77.42486188,60
98108,1569,36,11780,50.01273345,25
98109,2681,48,15300,108.8438562,37
98112,2140,16,12130,202.574526,30
98115,2401,27,25370,100.7467087,82
98116,1056,20,13660,98.37759883,44
98117,3184,11,17560,93.9535877,85
98118,1624,35,22620,56.95778073,36
98119,1654,18,12450,111.5524498,28
98121,2179,38,8760,128.0871005,23
98122,1712,88,19510,77.25699641,58
98125,3184,4,20000,64.3982,54
98126,1194,9,10950,70.93753425,35
98133,1058,4,24090,55.06720631,47
98134,674,23,590,124.1677966,1
98136,1396,7,8460,104.9786052,20
98144,2369,26,15060,76.60438247,38
98146,1041,4,13060,57.92258806,7
98199,680,8,11030,130.7781505,42
